logFC,AveExpr,t,P.Value,adj.P.Val,B
-0.409629008,5.835162604,-3.349275735,0.005001752,0.556388699,-1.97300331
-0.747599909,6.161155043,-3.348446159,0.005009871,0.556388699,-1.974463034
-0.584632777,5.928227865,-3.346608395,0.005027902,0.556388699,-1.977696766
1.590612075,6.965687988,3.344392645,0.005049729,0.556388699,-1.981595609
0.30198244,6.890154035,3.341086034,0.005082479,0.556388699,-1.987413942
-0.339912133,5.826771471,-3.33709352,0.005122307,0.556388699,-1.994439193
-0.318502532,7.436556313,-3.333744246,0.00515596,0.556388699,-2.000332587
-0.401853084,8.725913345,-3.332863682,0.005164844,0.556388699,-2.001882028
0.464675649,9.664791269,3.331922437,0.005174358,0.556388699,-2.003538242
1.169845367,4.377643933,3.330379604,0.00518999,0.556388699,-2.006253008
-0.889297181,3.61893812,-3.320599006,0.005290198,0.563591066,-2.02346279
-0.764538012,5.042314324,-3.318474227,0.005312223,0.563591066,-2.027201475
-0.513924691,4.36114759,-3.302350059,0.005482387,0.571624085,-2.055572244
-0.418849662,6.387559851,-3.301095233,0.005495856,0.571624085,-2.057780064
-0.309506519,8.014877101,-3.299480761,0.005513235,0.571624085,-2.060620652
-0.395693384,4.567775355,-3.297329888,0.005536474,0.571624085,-2.064404981
0.431796448,3.851164212,3.293085911,0.005582615,0.571624085,-2.071871885
0.385230956,8.145316505,3.29116982,0.005603573,0.571624085,-2.075243026
0.88014353,7.219191712,3.289677568,0.00561995,0.571624085,-2.077868447
-0.966322344,4.603781217,-3.288823718,0.005629342,0.571624085,-2.079370675
0.391288526,9.211974457,3.287929954,0.005639191,0.571624085,-2.080943118
0.397206904,7.199834084,3.281845136,0.005706698,0.574504495,-2.091648219
1.330873106,5.119819561,3.279570612,0.005732139,0.574504495,-2.095649715
-0.528138803,4.416124948,-3.273520268,0.00580037,0.574504495,-2.106293592
-0.324912457,7.374757284,-3.270815166,0.005831139,0.574504495,-2.11105231
-1.109486473,5.719447813,-3.269480679,0.005846377,0.574504495,-2.113399856
0.299458321,8.529595168,3.268647362,0.005855914,0.574504495,-2.114865763
-0.540024533,6.723896134,-3.267941037,0.005864009,0.574504495,-2.116108268
1.017335384,5.809388144,3.262779838,0.005923501,0.577569563,-2.125187181
0.653305981,8.923401424,3.259784684,0.005958303,0.578209491,-2.130455689
0.32971154,9.474109289,3.254198026,0.006023763,0.580156286,-2.140282306
0.2731643,8.326822915,3.253242533,0.006035031,0.580156286,-2.141962914
0.369224739,9.402178328,3.247701882,0.006100786,0.580796109,-2.151708009
-0.306362992,7.205754995,-3.246517229,0.006114938,0.580796109,-2.153791548
0.63932201,5.3915662,3.244733704,0.006136306,0.580796109,-2.156928322
-0.250617393,9.931706329,-3.243166368,0.006155145,0.580796109,-2.159684826
0.435443307,2.934301206,3.231498974,0.006297219,0.586753229,-2.180203
0.357747737,7.497229457,3.231447557,0.006297852,0.586753229,-2.180293414
-0.219276805,7.637885399,-3.230928878,0.006304244,0.586753229,-2.181205494
0.380271566,7.871564018,3.220313943,0.006436496,0.596351568,-2.199870208
0.431857905,7.153796538,3.215240784,0.006500679,0.597002618,-2.20878966
-0.523596716,4.852993309,-3.214338385,0.006512162,0.597002618,-2.210376161
0.333169283,5.23158506,3.212862121,0.006530992,0.597002618,-2.212971529
0.446614528,6.596960672,3.206629749,0.006611087,0.601638304,-2.223927836
0.376228236,8.454868472,3.201196016,0.006681719,0.605375554,-2.233479337
0.550516428,7.897333545,3.195219004,0.006760283,0.60979542,-2.243984896
-0.367982277,5.830682282,-3.184217974,0.006907304,0.620324386,-2.263318291
-0.202972433,7.779566196,-3.181894349,0.006938764,0.620428488,-2.267401401
-0.398743807,4.382576824,-3.176263756,0.00701559,0.62189092,-2.277294871
